Datei,Zeilen,Status
.eslintrc.cjs,19,REAL
.github/workflows/build-apk.yml,248,REAL
.gitignore,74,REAL
.npmrc,4,REAL
BUILD_INSTRUCTIONS.md,330,REAL
README.md,598,FIXME
android/.gitignore,101,REAL
android/app/.gitignore,2,REAL
android/app/build.gradle,101,REAL
android/app/capacitor.build.gradle,21,REAL
android/app/proguard-rules.pro,21,REAL
android/app/src/androidTest/java/com/getcapacitor/myapp/ExampleInstrumentedTest.java,26,PLACEHOLDER
android/app/src/debug/AndroidManifest.xml,7,REAL
android/app/src/main/AndroidManifest.xml,136,REAL
android/app/src/main/assets/devicecontrol/LICENSE-adb-ladb.txt,201,REAL
android/app/src/main/assets/devicecontrol/README.md,14,REAL
android/app/src/main/assets/devicecontrol/adb,44448,REAL
android/app/src/main/assets/devicecontrol/commands.json,13,REAL
android/app/src/main/assets/devicecontrol/fastboot,13,PLACEHOLDER
android/app/src/main/assets/devicecontrol/rom_database.json,163,REAL
android/app/src/main/assets/devicecontrol/supported_devices.json,106,REAL
android/app/src/main/assets/devicecontrol/usb_vendors.json,43,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/MainActivity.java,27,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/PortViewPlugin.java,453,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/AdbWrapper.kt,140,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/AdminReceiver.kt,28,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/CommandParser.kt,185,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/DeviceControlActivity.kt,199,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/DeviceControlPlugin.kt,308,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/DeviceManager.kt,169,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/FastbootWrapper.kt,100,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/ToolManager.kt,84,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/db/DeviceHistoryDb.kt,143,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/db/UsbVendorDatabase.kt,97,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/flash/BackupManager.kt,57,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/flash/BrickProtectionManager.kt,97,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/flash/FlashSafetyChecker.kt,112,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/flash/FlashSetupWizard.kt,161,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/models/Models.kt,136,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/rom/RomRepository.kt,107,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/utils/FileUtils.kt,72,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/utils/PermissionUtils.kt,40,REAL
android/app/src/main/java/com/dingelschwinng/moeagent/devicecontrol/utils/ProcessUtils.kt,68,REAL
android/app/src/main/res/drawable-land-hdpi/splash.png,34,REAL
android/app/src/main/res/drawable-land-mdpi/splash.png,7,REAL
android/app/src/main/res/drawable-land-xhdpi/splash.png,10,REAL
android/app/src/main/res/drawable-land-xxhdpi/splash.png,15,REAL
android/app/src/main/res/drawable-land-xxxhdpi/splash.png,8,REAL
android/app/src/main/res/drawable-port-hdpi/splash.png,12,REAL
android/app/src/main/res/drawable-port-mdpi/splash.png,4,REAL
android/app/src/main/res/drawable-port-xhdpi/splash.png,8,REAL
